"date","pop"
1901-07-01,77584000
1902-07-01,79163000
1903-07-01,80632000
1904-07-01,82166000
1905-07-01,83822000
1906-07-01,85450000
1907-07-01,87008000
1908-07-01,88710000
1909-07-01,90490000
1910-07-01,92407000
1911-07-01,93863000
1912-07-01,95335000
1913-07-01,97225000
1914-07-01,99111000
1915-07-01,100546000
1916-07-01,101961000
1917-07-01,103268000
1918-07-01,103208000
1919-07-01,104514000
1920-07-01,106461000
1921-07-01,108538000
1922-07-01,110049000
1923-07-01,111947000
1924-07-01,114109000
1925-07-01,115829000
1926-07-01,117397000
1927-07-01,119035000
1928-07-01,120509000
1929-07-01,121767000
1930-07-01,123076741
1931-07-01,124039648
1932-07-01,124840471
1933-07-01,125578763
1934-07-01,126373773
1935-07-01,127250232
1936-07-01,128053180
1937-07-01,128824829
1938-07-01,129824939
1939-07-01,130879718
1940-07-01,132122446
1941-07-01,133402471
1942-07-01,134859553
1943-07-01,136739353
1944-07-01,138397345
1945-07-01,139928165
1946-07-01,141388566
1947-07-01,144126071
1948-07-01,146631302
1949-07-01,149188130
1950-07-01,152271417
1951-07-01,154877889
1952-07-01,157552740
1953-07-01,160184192
1954-07-01,163025854
1955-07-01,165931202
1956-07-01,168903031
1957-07-01,171984130
1958-07-01,174881904
1959-07-01,177829628
1960-07-01,180671158
1961-07-01,183691481
1962-07-01,186537737
1963-07-01,189241798
1964-07-01,191888791
1965-07-01,194302963
1966-07-01,196560338
1967-07-01,198712056
1968-07-01,200706052
1969-07-01,202676946
1970-07-01,205052174
1971-07-01,207660677
1972-07-01,209896021
1973-07-01,211908788
1974-07-01,213853928
1975-07-01,215973199
1976-07-01,218035164
1977-07-01,220239425
1978-07-01,222584545
1979-07-01,225055487
1980-07-01,227224681
1981-07-01,229465714
1982-07-01,231664458
1983-07-01,233791994
1984-07-01,235824902
1985-07-01,237923795
1986-07-01,240132887
1987-07-01,242288918
1988-07-01,244498982
1989-07-01,246819230
1990-07-01,249622814
1991-07-01,252980941
1992-07-01,256514224
1993-07-01,259918588
1994-07-01,263125821
1995-07-01,266278393
1996-07-01,269394284
1997-07-01,272646925
1998-07-01,275854104
1999-07-01,279040168
2000-07-01,282162411
2001-07-01,284968955
2002-07-01,287625193
2003-07-01,290107933
2004-07-01,292805298
2005-07-01,295516599
2006-07-01,298379912
2007-07-01,301231207
2008-07-01,304093966
2009-07-01,306771529
2010-07-01,309347057
2011-07-01,311721632
2012-07-01,314112078
2013-07-01,316497531
2014-07-01,318857056
